Vernier Format 2,,,,
untitled.txt 6/15/2026 13:51:4,,,,
Run 1,,,,
Time,Gate State,Distance,Velocity,Acceleration
0,Blocked,0,,
0.02968,Unblocked,,,
0.87531,Blocked,0.05,0.054,-0.01
0.90517,Unblocked,,,
1.85602,Blocked,0.1,0.054,0.01
1.88274,Unblocked,,,
2.74083,Blocked,0.15,0.054,-0.01
2.76831,Unblocked,,,
3.71993,Blocked,0.2,0.054,0.01
3.75128,Unblocked,,,
4.59725,Blocked,0.25,0.054,-0.01
4.62774,Unblocked,,,
5.58678,Blocked,0.3,0.054,0.01
5.61629,Unblocked,,,
6.45998,Blocked,0.35,0.054,-0.01
6.48929,Unblocked,,,
7.44794,Blocked,0.4,0.054,0.01
7.47988,Unblocked,,,
8.32257,Blocked,0.45,0.054,-0.01
8.35406,Unblocked,,,
9.30262,Blocked,0.5,0.054,0.01
9.33392,Unblocked,,,
10.18053,Blocked,0.55,0.054,-0.01
10.21181,Unblocked,,,
11.15959,Blocked,0.6,0.054,0.01
11.19199,Unblocked,,,
12.03069,Blocked,0.65,0.054,-0.01
12.06301,Unblocked,,,
13.01868,Blocked,0.7,0.054,0.01
13.0513,Unblocked,,,
13.88835,Blocked,0.75,0.054,-0.01
13.9213,Unblocked,,,
14.87653,Blocked,0.8,0.054,0.01
14.9095,Unblocked,,,
15.74408,Blocked,0.85,0.054,-0.01
15.77701,Unblocked,,,
16.73185,Blocked,0.9,0.054,0.01
16.76563,Unblocked,,,
17.59932,Blocked,0.95,0.054,-0.01
17.63328,Unblocked,,,
18.58716,Blocked,1,0.054,0.01
18.62101,Unblocked,,,
19.45428,Blocked,1.05,0.054,-0.01
19.48814,Unblocked,,,
20.4418,Blocked,1.1,0.054,0.01
20.47672,Unblocked,,,
21.3066,Blocked,1.15,0.054,-0.01
21.34153,Unblocked,,,
22.29439,Blocked,1.2,0.054,0.01
22.32954,Unblocked,,,
23.15955,Blocked,1.25,0.054,-0.01
23.19415,Unblocked,,,
24.14808,Blocked,1.3,0.054,0.01
24.18387,Unblocked,,,
25.01142,Blocked,1.35,0.054,-0.01
25.04702,Unblocked,,,
25.99978,Blocked,1.4,0.055,0.01
26.03547,Unblocked,,,
26.86204,Blocked,1.45,0.055,-0.01
26.89788,Unblocked,,,
27.84992,Blocked,1.5,0.055,0.01
27.88653,Unblocked,,,
28.71163,Blocked,1.55,0.055,-0.01
28.74781,Unblocked,,,
29.70116,Blocked,1.6,0.055,0.01
29.73799,Unblocked,,,
30.56155,Blocked,1.65,0.055,-0.01
30.59847,Unblocked,,,
31.55104,Blocked,1.7,0.055,0.01
31.58823,Unblocked,,,
32.41008,Blocked,1.75,0.055,-0.01
32.44721,Unblocked,,,
33.39902,Blocked,1.8,0.055,0.01
33.43685,Unblocked,,,
34.25781,Blocked,1.85,0.055,-0.01
34.29541,Unblocked,,,
35.24774,Blocked,1.9,0.055,0.01
35.28578,Unblocked,,,
36.10584,Blocked,1.95,0.055,-0.01
36.14399,Unblocked,,,
37.09613,Blocked,2,0.055,0.01
37.13464,Unblocked,,,
37.9525,Blocked,2.05,0.055,-0.01
37.99101,Unblocked,,,
38.94285,Blocked,2.1,0.055,0.01
38.98196,Unblocked,,,
39.79858,Blocked,2.15,0.055,-0.01
39.83751,Unblocked,,,
40.78965,Blocked,2.2,0.055,0.01
40.82905,Unblocked,,,
41.64482,Blocked,2.25,0.055,-0.01
41.68435,Unblocked,,,
42.63604,Blocked,2.3,0.055,0.01
42.67589,Unblocked,,,
43.48976,Blocked,2.35,0.055,-0.01
43.52969,Unblocked,,,
44.48121,Blocked,2.4,0.055,0.01
44.52162,Unblocked,,,
45.33415,Blocked,2.45,0.055,-0.01
45.37442,Unblocked,,,
46.32641,Blocked,2.5,0.055,0.01
46.36718,Unblocked,,,
47.17868,Blocked,2.55,0.055,-0.01
47.21947,Unblocked,,,
48.17136,Blocked,2.6,0.055,0.01
48.21245,Unblocked,,,
49.02217,Blocked,2.65,0.055,-0.01
49.06339,Unblocked,,,
50.01493,Blocked,2.7,0.055,0.01
50.05662,Unblocked,,,
50.8649,Blocked,2.75,0.055,-0.01
50.90649,Unblocked,,,
51.85854,Blocked,2.8,0.055,0.01
51.90063,Unblocked,,,
52.70784,Blocked,2.85,0.055,-0.01
52.74998,Unblocked,,,
53.70204,Blocked,2.9,0.055,0.01
53.7445,Unblocked,,,
54.54989,Blocked,2.95,0.055,-0.01
54.5925,Unblocked,,,
55.54419,Blocked,3,0.055,0.01
55.58722,Unblocked,,,
56.3912,Blocked,3.05,0.055,-0.01
56.43413,Unblocked,,,
57.38628,Blocked,3.1,0.055,0.01
57.42974,Unblocked,,,
58.23263,Blocked,3.15,0.055,-0.01
