L  37 cm:Time(s),,,L  37 cm:Gate State,L  37 cm:Distance(m),L  37 cm:Velocity(m/s),L  37 cm:Acceleration(m/s²),L 53 cm:Time(s),,L 53 cm:Gate State,L 53 cm:Distance(m),L 53 cm:Velocity(m/s),L 53 cm:Acceleration(m/s²),,,
0,,,1,0,,,0,,1,0,,,,,
0.053273,,,0,,,,0.057528,,0,,,,,,
0.617764,0.617764,,1,0.5,0.817379783,0.02592969,0.699131,0.699131,1,0.5,0.698100874,-0.048839707,,,
0.671298,,,0,,,,0.757069,,0,,,,,,
1.223652,0.605888,,1,1,0.817358589,-0.025999651,1.434264,0.735133,1,1,0.697585484,0.047437539,,,
1.277451,,,0,,,,1.492395,,0,,,,,,
1.841449,0.617797,,1,1.5,0.817489159,0.026422348,2.134357,0.700093,1,1.5,0.697514271,-0.047640979,,,
1.895404,,,0,,,,2.19241,,0,,,,,,
2.447149,0.6057,,1,2,0.817498147,-0.026392669,2.869652,0.735295,1,2,0.698118392,0.049284186,,,
2.501407,,,0,,,,2.928264,,0,,,,,,
3.064932,0.617783,,1,2.5,0.817523164,0.026473655,3.568618,0.698966,1,2.5,0.698281707,-0.048816881,,,
3.119452,,,0,,,,3.62813,,0,,,,,,
3.670596,0.605664,,1,3,0.817455771,-0.026696196,4.303541,0.734923,1,3,0.697970056,0.047968763,,,
3.725419,,,0,,,,4.363325,,0,,,,,,
4.288484,0.617888,,1,3.5,0.817573982,0.027078824,5.003088,0.699547,1,3.5,0.697713114,-0.048703359,,,
4.343469,,,0,,,,5.062735,,0,,,,,,
4.893978,0.605494,,1,4,0.817611193,-0.026955912,5.738596,0.735508,1,4,0.698190638,0.050001845,,,
4.949233,,,0,,,,5.798713,,0,,,,,,
5.511808,0.61783,,1,4.5,0.817663371,0.02712482,6.437254,0.698658,1,4.5,0.698260754,-0.049801129,,,
5.567319,,,0,,,,6.498132,,0,,,,,,
6.117227,0.605419,,1,5,0.817581274,-0.027396027,7.172602,0.735348,1,5,0.69806452,0.049267412,,,
6.173078,,,0,,,,7.233771,,0,,,,,,
6.735185,0.617958,,1,5.5,0.817654371,0.027632602,7.871625,0.699023,1,5.5,0.697911553,-0.049705069,,,
6.791224,,,0,,,,7.9328,,0,,,,,,
7.340499,0.605314,,1,6,0.817713362,-0.02743769,8.607322,0.735697,1,6,0.698363809,0.050934531,,,
7.396791,,,0,,,,8.669029,,0,,,,,,
7.958365,0.617866,,1,6.5,0.817789969,0.027685662,9.305505,0.698183,1,6.5,0.698124384,-0.051620383,,,
8.014881,,,0,,,,9.367794,,0,,,,,,
8.563569,0.605204,,1,7,0.817714325,-0.02793564,10.04175,0.736245,1,7,0.698345319,0.052220548,,,
8.620429,,,0,,,,10.104379,,0,,,,,,
9.181553,0.617984,,1,7.5,0.817764499,0.02809802,10.739524,0.697774,1,7.5,0.698114862,-0.052881096,,,
9.238655,,,0,,,,10.802238,,0,,,,,,0.105592
9.786685,0.605132,,1,8,0.817760655,-0.028110727,11.476298,0.736774,1,8,0.698165726,0.053019169,,,
9.844057,,,0,,,,11.53949,,0,,,,,,
10.404675,0.61799,,1,8.5,0.817888959,0.02852596,12.173978,0.69768,1,8.5,0.698480344,-0.052117273,,,
10.462241,,,0,,,,12.237829,,0,,,,,,
11.009623,0.604948,,1,9,0.817865901,-0.028602192,12.91003,0.736052,1,9,0.698314987,0.051667967,,,
11.06752,,,0,,,,12.974165,,0,,,,,,
11.627649,0.618026,,1,9.5,0.817899393,0.028710575,13.608016,0.697986,1,9.5,0.69816664,-0.052093038,,,
11.685806,,,0,,,,13.672314,,0,,,,,,
12.232549,0.6049,,1,10,0.817866096,-0.028820664,14.344408,0.736392,1,10,0.698566515,0.053179074,,,
12.291008,,,0,,,,14.409248,,0,,,,,,
12.850627,0.618078,,1,10.5,0.81798758,0.029213766,15.041655,0.697247,1,10.5,0.698486413,-0.05340884,,,
12.909279,,,0,,,,15.107089,,0,,,,,,
13.455353,0.604726,,1,11,0.8179863,-0.029218,15.778231,0.736576,1,11,0.698366672,0.053083711,,,
13.514318,,,0,,,,15.843941,,0,,,,,,
14.073433,0.61808,,1,11.5,0.818023324,0.029337804,16.475699,0.697468,1,11.5,0.698262684,-0.0533819,,,
14.132657,,,0,,,,16.541589,,0,,,,,,
14.678106,0.604673,,1,12,0.817983012,-0.029471141,17.212514,0.736815,1,12,0.698716904,0.054614828,,,
14.737651,,,0,,,,17.278985,,0,,,,,,
15.296249,0.618143,,1,12.5,0.818054999,0.029704057,17.909145,0.696631,1,12.5,0.698635285,-0.054849152,,,
15.356008,,,0,,,,17.976173,,0,,,,,,
15.900819,0.60457,,1,13,0.818062036,-0.029680779,18.646148,0.737003,1,13,0.698534186,0.0545748,,,
15.960886,,,0,,,,18.713442,,0,,,,,,
16.518951,0.618132,,1,13.5,0.818116574,0.029857241,19.342965,0.696817,1,13.5,0.698456511,-0.05479774,,,
16.579264,,,0,,,,19.410503,,0,,,,,,
17.123443,0.604492,,1,14,0.818077563,-0.029986311,20.080147,0.737182,1,14,0.698840758,0.055840215,,,
17.184085,,,0,,,,20.148283,,0,,,,,,
17.741636,0.618193,,1,14.5,0.818166416,0.03027377,20.776258,0.696111,1,14.5,0.698705659,-0.056228368,,,
17.802502,,,0,,,,20.844919,,0,,,,,,
18.346001,0.604365,,1,15,0.818164498,-0.030280117,21.513752,0.737494,1,15,0.698650598,0.056079048,,,
18.40718,,,0,,,,21.582682,,0,,,,,,
18.964197,0.618196,,1,15.5,0.818227498,0.030483937,22.209964,0.696212,1,15.5,0.69859608,-0.05623566,,,
19.025628,,,0,,,,22.279197,,0,,,,,,
19.568472,0.604275,,1,16,0.818179569,-0.030642572,22.947584,0.73762,1,16,0.698926303,0.057131034,,,
19.630242,,,0,,,,23.017413,,0,,,,,,
20.186743,0.618271,,1,16.5,0.818251711,0.030875942,23.643191,0.695607,1,16.5,0.698825229,-0.057421643,,,
20.248748,,,0,,,,23.713489,,0,,,,,,
20.790915,0.604172,,1,17,,,24.381045,0.737854,1,17,,,,,
20.853234,,,0,,,,24.451627,,0,,,,,,
,0.6114975,,,,,,,0.717089559,,,,,,,
